背番号,Unnamed: 1,HG,名前,Pos.,出生地 ※1,生年月日,身長/体重,出場 試合数 ※2,ゴール 数 ※3,player_no,position,player_name,birth,height_weight,club_key,club_name,fetched_at,source_url
51.0,,HG,瀬口 大翔,MF,兵庫県,2008/1/10,176/71,0,0,51.0,MF,瀬口 大翔,2008/1/10,176/71,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
58.0,,HG,大西 湊太,MF,兵庫県,2007/4/12,172/63,0,0,58.0,MF,大西 湊太,2007/4/12,172/63,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
,,,里見 汰福,MF,兵庫県,2009/4/20,171/73,0,0,,MF,里見 汰福,2009/4/20,171/73,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
10.0,,,大迫 勇也,FW,鹿児島県,1990/5/18,184/75,1,0,10.0,FW,大迫 勇也,1990/5/18,184/75,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
11.0,,,武藤 嘉紀,FW,東京都,1992/7/15,179/72,3,1,11.0,FW,武藤 嘉紀,1992/7/15,179/72,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
13.0,,HG,佐々木 大樹,FW,島根県,1999/9/17,180/77,3,1,13.0,FW,佐々木 大樹,1999/9/17,180/77,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
26.0,,,ジェアン パトリッキ,FW,ブラジル,1997/5/14,175/70,3,0,26.0,FW,ジェアン パトリッキ,1997/5/14,175/70,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
29.0,,,小松 蓮,FW,東京都,1998/9/10,183/77,3,0,29.0,FW,小松 蓮,1998/9/10,183/77,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
35.0,,HG,冨永 虹七,FW,兵庫県,2004/7/18,176/73,0,0,35.0,FW,冨永 虹七,2004/7/18,176/73,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
45.0,,,相澤 デイビッド,FW,東京都,2003/8/2,195/94,0,0,45.0,FW,相澤 デイビッド,2003/8/2,195/94,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
46.0,,,伊藤 湊太,FW,京都府,2007/9/24,186/75,0,0,46.0,FW,伊藤 湊太,2007/9/24,186/75,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
53.0,,HG,渡辺 隼斗,FW,大阪府,2007/4/6,179/78,0,0,53.0,FW,渡辺 隼斗,2007/4/6,179/78,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
55.0,,,宮原 勇太,FW,大阪府,2005/4/7,174/71,0,0,55.0,FW,宮原 勇太,2005/4/7,174/71,kobe,ヴィッセル神戸,2026-02-22T16:17:44,https://www.jleague.jp/club/ajax_player/
1.0,,,後藤 雅明,GK,埼玉県,1994/5/24,191/83,3,0,1.0,GK,後藤 雅明,1994/5/24,191/83,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
13.0,,,波多野 豪,GK,東京都,1998/5/25,198/100,0,0,13.0,GK,波多野 豪,1998/5/25,198/100,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
26.0,,,井岡 海都,GK,千葉県,1998/4/27,186/79,0,0,26.0,GK,井岡 海都,1998/4/27,186/79,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
30.0,,,ルカ ラドティッチ,GK,セルビア,2000/7/17,199/93,0,0,30.0,GK,ルカ ラドティッチ,2000/7/17,199/93,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
3.0,,,関口 正大,DF,新潟県,1998/4/21,172/66,0,0,3.0,DF,関口 正大,1998/4/21,172/66,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
4.0,,,エドゥアルド,DF,ブラジル,1993/4/27,184/84,0,0,4.0,DF,エドゥアルド,1993/4/27,184/84,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
6.0,,HG,江川 湧清,DF,長崎県,2000/10/24,175/67,3,0,6.0,DF,江川 湧清,2000/10/24,175/67,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
17.0,,,高畑 奎汰,DF,大分県,2000/9/16,176/68,0,0,17.0,DF,高畑 奎汰,2000/9/16,176/68,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
23.0,,,米田 隼也,DF,福岡県,1995/11/5,175/72,2,0,23.0,DF,米田 隼也,1995/11/5,175/72,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
25.0,,,櫛引 一紀,DF,北海道,1993/2/12,182/82,1,0,25.0,DF,櫛引 一紀,1993/2/12,182/82,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
29.0,,,新井 一耀,DF,千葉県,1993/11/8,186/81,0,0,29.0,DF,新井 一耀,1993/11/8,186/81,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
37.0,,,佐々木 奈琉,DF,石川県,2003/7/13,170/62,0,0,37.0,DF,佐々木 奈琉,2003/7/13,170/62,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
38.0,,,田所 莉旺,DF,東京都,2006/4/8,187/74,0,0,38.0,DF,田所 莉旺,2006/4/8,187/74,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
45.0,,,ノ ヒョンジュン,DF,大韓民国,2007/7/19,180/79,0,0,45.0,DF,ノ ヒョンジュン,2007/7/19,180/79,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
48.0,,,照山 颯人,DF,千葉県,2000/8/28,184/75,3,0,48.0,DF,照山 颯人,2000/8/28,184/75,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
50.0,,,進藤 亮佑,DF,北海道,1996/6/7,183/74,3,0,50.0,DF,進藤 亮佑,1996/6/7,183/74,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
5.0,,,山口 蛍,MF,三重県,1990/10/6,173/72,3,0,5.0,MF,山口 蛍,1990/10/6,173/72,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
8.0,,,岩崎 悠人,MF,滋賀県,1998/6/11,173/72,2,0,8.0,MF,岩崎 悠人,1998/6/11,173/72,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
10.0,,,マテウス ジェズス,MF,ブラジル,1997/4/10,187/80,3,1,10.0,MF,マテウス ジェズス,1997/4/10,187/80,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
14.0,,,名倉 巧,MF,東京都,1998/6/3,168/61,0,0,14.0,MF,名倉 巧,1998/6/3,168/61,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
16.0,,,エメルソン,MF,ブラジル,1999/7/27,174/69,0,0,16.0,MF,エメルソン,1999/7/27,174/69,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
19.0,,,澤田 崇,MF,熊本県,1991/5/26,170/63,0,0,19.0,MF,澤田 崇,1991/5/26,170/63,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
20.0,,,中村 慶太,MF,千葉県,1993/6/30,178/73,0,0,20.0,MF,中村 慶太,1993/6/30,178/73,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
21.0,,,ディエゴ ピトゥカ,MF,ブラジル,1992/8/15,178/72,3,0,21.0,MF,ディエゴ ピトゥカ,1992/8/15,178/72,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
22.0,,,翁長 聖,MF,兵庫県,1995/2/23,171/68,3,0,22.0,MF,翁長 聖,1995/2/23,171/68,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
24.0,,,山田 陸,MF,東京都,1998/4/15,175/77,1,0,24.0,MF,山田 陸,1998/4/15,175/77,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
33.0,,HG,笠柳 翼,MF,神奈川県,2003/6/24,175/63,2,0,33.0,MF,笠柳 翼,2003/6/24,175/63,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
34.0,,,松本 天夢,MF,群馬県,2002/9/28,169/59,2,0,34.0,MF,松本 天夢,2002/9/28,169/59,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
41.0,,,長谷川 元希,MF,埼玉県,1998/12/10,177/70,3,0,41.0,MF,長谷川 元希,1998/12/10,177/70,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
44.0,,HG,鍋島 暖歩,MF,宮崎県,2004/2/21,168/62,0,0,44.0,MF,鍋島 暖歩,2004/2/21,168/62,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
9.0,,,チアゴ サンタナ,FW,ブラジル,1993/2/4,184/80,2,1,9.0,FW,チアゴ サンタナ,1993/2/4,184/80,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
11.0,,,ノーマン キャンベル,FW,ジャマイカ,1999/11/24,175/71,3,2,11.0,FW,ノーマン キャンベル,1999/11/24,175/71,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
18.0,,,山﨑 凌吾,FW,岡山県,1992/9/20,187/82,3,0,18.0,FW,山﨑 凌吾,1992/9/20,187/82,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
28.0,,HG,七牟禮 蒼杜,FW,宮崎県,2005/10/3,180/79,0,0,28.0,FW,七牟禮 蒼杜,2005/10/3,180/79,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
32.0,,,ジョップ セリンサリウ,FW,神奈川県,2003/6/30,195/92,0,0,32.0,FW,ジョップ セリンサリウ,2003/6/30,195/92,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
39.0,,,洪 怜鎭,FW,東京都,2003/8/26,176/73,0,0,39.0,FW,洪 怜鎭,2003/8/26,176/73,nagasaki,Ｖ・ファーレン長崎,2026-02-22T16:17:48,https://www.jleague.jp/club/ajax_player/
1.0,,,菅野 孝憲,GK,埼玉県,1984/5/3,179/75,0,0,1.0,GK,菅野 孝憲,1984/5/3,179/75,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
24.0,,,田川 知樹,GK,大阪府,2002/9/18,180/78,3,0,24.0,GK,田川 知樹,2002/9/18,180/78,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
41.0,,HG,唯野 鶴眞,GK,北海道,2007/5/28,193/90,0,0,41.0,GK,唯野 鶴眞,2007/5/28,193/90,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
51.0,,,高木 駿,GK,神奈川県,1989/5/22,181/76,0,0,51.0,GK,高木 駿,1989/5/22,181/76,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
2.0,,,髙尾 瑠,DF,愛知県,1996/11/9,181/67,3,0,2.0,DF,髙尾 瑠,1996/11/9,181/67,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
3.0,,,パク ミンギュ,DF,大韓民国,1995/8/10,177/67,2,0,3.0,DF,パク ミンギュ,1995/8/10,177/67,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
4.0,,HG,中村 桐耶,DF,北海道,2000/7/23,186/78,0,0,4.0,DF,中村 桐耶,2000/7/23,186/78,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
5.0,,,福森 晃斗,DF,神奈川県,1992/12/16,183/81,3,0,5.0,DF,福森 晃斗,1992/12/16,183/81,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
15.0,,,家泉 怜依,DF,香川県,2000/1/20,185/85,3,1,15.0,DF,家泉 怜依,2000/1/20,185/85,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
17.0,,,内田 瑞己,DF,神奈川県,1999/9/11,170/71,0,0,17.0,DF,内田 瑞己,1999/9/11,170/71,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
25.0,,,大﨑 玲央,DF,東京都,1991/8/7,187/82,0,0,25.0,DF,大﨑 玲央,1991/8/7,187/82,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
28.0,,,岡田 大和,DF,島根県,2001/6/17,180/78,1,0,28.0,DF,岡田 大和,2001/6/17,180/78,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
39.0,,HG,川原 颯斗,DF,北海道,2003/10/2,175/67,0,0,39.0,DF,川原 颯斗,2003/10/2,175/67,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
47.0,,HG,西野 奨太,DF,北海道,2004/5/28,181/79,3,0,47.0,DF,西野 奨太,2004/5/28,181/79,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
50.0,,,浦上 仁騎,DF,茨城県,1996/11/11,178/76,0,0,50.0,DF,浦上 仁騎,1996/11/11,178/76,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
7.0,,,スパチョーク,MF,タイ,1998/5/22,169/66,2,1,7.0,MF,スパチョーク,1998/5/22,169/66,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
10.0,,HG,宮澤 裕樹,MF,北海道,1989/6/28,182/76,1,0,10.0,MF,宮澤 裕樹,1989/6/28,182/76,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
11.0,,,青木 亮太,MF,東京都,1996/3/6,174/72,1,0,11.0,MF,青木 亮太,1996/3/6,174/72,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
13.0,,,堀米 勇輝,MF,山梨県,1992/12/13,168/63,2,0,13.0,MF,堀米 勇輝,1992/12/13,168/63,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
14.0,,,田中 克幸,MF,岡山県,2002/3/15,175/70,2,0,14.0,MF,田中 克幸,2002/3/15,175/70,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
16.0,,,長谷川 竜也,MF,静岡県,1994/3/7,164/60,0,0,16.0,MF,長谷川 竜也,1994/3/7,164/60,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
18.0,,HG,木戸 柊摩,MF,北海道,2003/1/2,170/63,3,0,18.0,MF,木戸 柊摩,2003/1/2,170/63,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
19.0,,,ティラパット,MF,タイ,2007/2/17,175/65,1,0,19.0,MF,ティラパット,2007/2/17,175/65,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
27.0,,HG,荒野 拓馬,MF,北海道,1993/4/20,180/76,3,0,27.0,MF,荒野 拓馬,1993/4/20,180/76,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
30.0,,,田中 宏武,MF,群馬県,1999/4/15,174/68,1,0,30.0,MF,田中 宏武,1999/4/15,174/68,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
31.0,,HG,堀米 悠斗,MF,北海道,1994/9/9,168/67,1,0,31.0,MF,堀米 悠斗,1994/9/9,168/67,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
35.0,,,原 康介,MF,愛知県,2005/8/3,170/65,1,0,35.0,MF,原 康介,2005/8/3,170/65,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
9.0,,,マリオ セルジオ,FW,ブラジル,1995/9/2,181/75,0,0,9.0,FW,マリオ セルジオ,1995/9/2,181/75,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
20.0,,,アマドゥ バカヨコ,FW,シエラレオネ,1996/1/1,190/80,3,1,20.0,FW,アマドゥ バカヨコ,1996/1/1,190/80,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
22.0,,,キングロード サフォ,FW,ガーナ,2002/1/9,178/84,1,0,22.0,FW,キングロード サフォ,2002/1/9,178/84,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
23.0,,,大森 真吾,FW,福岡県,2001/2/9,181/77,3,0,23.0,FW,大森 真吾,2001/2/9,181/77,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
40.0,,HG,佐藤 陽成,FW,北海道,2003/9/3,170/64,1,0,40.0,FW,佐藤 陽成,2003/9/3,170/64,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
71.0,,,白井 陽斗,FW,大阪府,1999/10/23,172/63,3,0,71.0,FW,白井 陽斗,1999/10/23,172/63,sapporo,北海道コンサドーレ札幌,2026-02-22T16:17:50,https://www.jleague.jp/club/ajax_player/
1.0,,HG,堀田 大暉,GK,宮城県,1994/10/5,183/81,0,0,1.0,GK,堀田 大暉,1994/10/5,183/81,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
29.0,,,松澤 香輝,GK,神奈川県,1992/4/3,183/82,0,0,29.0,GK,松澤 香輝,1992/4/3,183/82,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
33.0,,,林 彰洋,GK,東京都,1987/5/7,195/92,2,0,33.0,GK,林 彰洋,1987/5/7,195/92,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
38.0,,,渡邊 航聖,GK,青森県,2008/6/26,180/72,0,0,38.0,GK,渡邊 航聖,2008/6/26,180/72,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
41.0,,,髙橋 一平,GK,秋田県,2003/10/2,191/87,0,0,41.0,GK,髙橋 一平,2003/10/2,191/87,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
2.0,,,五十嵐 聖己,DF,福島県,2002/4/13,177/75,2,0,2.0,DF,五十嵐 聖己,2002/4/13,177/75,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
3.0,,,奥山 政幸,DF,愛知県,1993/7/28,173/70,2,0,3.0,DF,奥山 政幸,1993/7/28,173/70,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
5.0,,,菅田 真啓,DF,奈良県,1997/6/28,183/77,2,1,5.0,DF,菅田 真啓,1997/6/28,183/77,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
19.0,,,マテウス モラエス,DF,ブラジル,2001/3/6,188/80,0,0,19.0,DF,マテウス モラエス,2001/3/6,188/80,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
22.0,,,髙田 椋汰,DF,宮崎県,2000/6/10,174/72,2,0,22.0,DF,髙田 椋汰,2000/6/10,174/72,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
24.0,,HG,永井 大義,DF,宮城県,2007/11/19,185/78,0,0,24.0,DF,永井 大義,2007/11/19,185/78,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
42.0,,,石井 隼太,DF,東京都,2001/7/6,173/70,0,0,42.0,DF,石井 隼太,2001/7/6,173/70,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
44.0,,,井上 詩音,DF,宮城県,2000/4/25,184/77,2,1,44.0,DF,井上 詩音,2000/4/25,184/77,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
55.0,,,韓 浩康,DF,京都府,1993/9/18,186/80,0,0,55.0,DF,韓 浩康,1993/9/18,186/80,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
4.0,,,湯谷 杏吏,MF,大阪府,2002/7/8,180/75,1,0,4.0,MF,湯谷 杏吏,2002/7/8,180/75,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
6.0,,,松井 蓮之,MF,福島県,2000/2/27,178/73,2,0,6.0,MF,松井 蓮之,2000/2/27,178/73,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
8.0,,,武田 英寿,MF,宮城県,2001/9/15,178/68,2,1,8.0,MF,武田 英寿,2001/9/15,178/68,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
10.0,,,鎌田 大夢,MF,愛媛県,2001/6/23,168/60,2,0,10.0,MF,鎌田 大夢,2001/6/23,168/60,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
14.0,,,相良 竜之介,MF,佐賀県,2002/8/17,172/67,0,0,14.0,MF,相良 竜之介,2002/8/17,172/67,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
15.0,,,南 創太,MF,大分県,2006/6/15,171/62,2,0,15.0,MF,南 創太,2006/6/15,171/62,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
17.0,,HG,工藤 蒼生,MF,宮城県,2000/5/31,168/66,0,0,17.0,MF,工藤 蒼生,2000/5/31,168/66,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
23.0,,,有田 恵人,MF,大阪府,2002/1/24,171/61,0,0,23.0,MF,有田 恵人,2002/1/24,171/61,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
26.0,,HG,横山 颯大,MF,北海道,2006/5/30,168/65,0,0,26.0,MF,横山 颯大,2006/5/30,168/65,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
27.0,,,岩渕 弘人,MF,岩手県,1997/9/17,177/73,2,0,27.0,MF,岩渕 弘人,1997/9/17,177/73,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
37.0,,,杉山 耀建,MF,埼玉県,2003/11/8,174/68,2,0,37.0,MF,杉山 耀建,2003/11/8,174/68,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
7.0,,,荒木 駿太,FW,福岡県,1999/10/24,170/66,1,0,7.0,FW,荒木 駿太,1999/10/24,170/66,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
9.0,,,宮崎 鴻,FW,東京都,1999/8/5,184/82,1,1,9.0,FW,宮崎 鴻,1999/8/5,184/82,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
11.0,,,小林 心,FW,新潟県,2000/9/29,177/73,2,0,11.0,FW,小林 心,2000/9/29,177/73,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
18.0,,,梅木 翼,FW,島根県,1998/11/24,183/75,1,0,18.0,FW,梅木 翼,1998/11/24,183/75,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
20.0,,HG,中田 有祐,FW,群馬県,2004/6/5,190/86,0,0,20.0,FW,中田 有祐,2004/6/5,190/86,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
30.0,,,西丸 道人,FW,鹿児島県,2005/6/15,169/70,0,0,30.0,FW,西丸 道人,2005/6/15,169/70,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
34.0,,HG,古屋 歩夢,FW,東京都,2007/5/9,176/79,2,1,34.0,FW,古屋 歩夢,2007/5/9,176/79,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
40.0,,,安野 匠,FW,神奈川県,2006/4/8,174/65,0,0,40.0,FW,安野 匠,2006/4/8,174/65,sendai,ベガルタ仙台,2026-02-22T16:17:52,https://www.jleague.jp/club/ajax_player/
1.0,,,トーマス ヒュワード ベル,GK,オーストラリア,1997/3/11,190/81,3,0,1.0,GK,トーマス ヒュワード ベル,1997/3/11,190/81,yamagata,モンテディオ山形,2026-02-22T16:17:54,https://www.jleague.jp/club/ajax_player/
16.0,,,長谷川 洸,GK,東京都,1995/5/16,183/85,0,0,16.0,GK,長谷川 洸,1995/5/16,183/85,yamagata,モンテディオ山形,2026-02-22T16:17:54,https://www.jleague.jp/club/ajax_player/
32.0,,HG,上林 大誠,GK,山形県,2006/2/21,184/79,0,0,32.0,GK,上林 大誠,2006/2/21,184/79,yamagata,モンテディオ山形,2026-02-22T16:17:54,https://www.jleague.jp/club/ajax_player/
45.0,,,渋谷 飛翔,GK,東京都,1995/1/27,189/89,0,0,45.0,GK,渋谷 飛翔,1995/1/27,189/89,yamagata,モンテディオ山形,2026-02-22T16:17:54,https://www.jleague.jp/club/ajax_player/
2.0,,,イ ドンヒ,DF,大韓民国,2000/2/7,186/83,0,0,2.0,DF,イ ドンヒ,2000/2/7,186/83,yamagata,モンテディオ山形,2026-02-22T16:17:54,https://www.jleague.jp/club/ajax_player/
3.0,,,熊本 雄太,DF,福岡県,1995/7/18,186/83,3,0,3.0,DF,熊本 雄太,1995/7/18,186/83,yamagata,モンテディオ山形,2026-02-22T16:17:54,https://www.jleague.jp/club/ajax_player/
